Layer,Acidobacteriales,Solibacterales,Vicinamibacterales,Rhizobiales,Burkholderiales,Geobacterales,Syntrophales,Gemmatimonadales,Myxococcales,Tepidisphaerales,Chthoniobacterales,Pedosphaerales,Gaiellales,Micrococcales,Solirubrobacterales,RBG-16-55-12,WCHB1-81,Bacteroidales,Chitinophagales,Sphingobacteriales,Caldisericales,Clostridiales
AL,4.405094381,1.081466516,1.398379781,4.70814269,10.37692871,2.238199933,0.528849011,0.275318399,0.752669004,0.360488839,6.007487076,5.098342147,0.958662626,0.21787787,0.83189732,0.015845663,0.051498406,1.836116228,0.734842633,0.887357141,0.007922832,0.13270743
AL,1.136926337,0.540733258,0.441697863,1.095331471,1.879691802,5.080515776,7.308812169,0.071305485,0.239665657,0.251549904,1.62616119,6.270921227,1.95693941,0.297106186,0.033672034,1.299344386,1.035910234,10.89587419,0.00990354,3.101788579,1.620219066,0.673440688
AL,0.061401945,0.534791134,0.556578921,0.291164062,0.447639987,1.78659853,9.281597243,0.011884247,0.233723533,0.180244419,1.138907045,6.75025254,3.153286985,0.275318399,0.003961416,2.941351239,1.879691802,12.04666548,0,2.933428407,3.165171232,2.32535108
AL,0.023768495,0.326816804,0.459524234,0.027729911,0.338701052,0.812090241,9.618317587,0.196090083,0.101016103,0.156475924,1.067601561,8.568542397,2.353080991,0.295125478,0.013864955,3.220631054,2.097569671,14.89888486,0.138649553,4.775486759,3.030483095,5.559847089
AL,0.039614158,0.726919801,0.475369897,0.007922832,1.160694832,1.008180324,9.325172817,0.073286192,0.063382653,0.136668845,0.691267059,11.56139204,2.947293363,0.520926179,0,2.491730544,0.978469705,13.71046012,0,5.599461247,2.149068077,6.405609365
PF,0.186186543,0.120823182,0.558559629,0.043575574,2.384772318,1.382534118,4.337750312,0,0.138649553,0.374353794,0.130726722,6.227345653,11.92980371,1.473646681,0.001980708,4.048566958,1.436013231,31.0693842,0.019807079,3.571216353,2.812605225,3.250341672
PF,0,0.118842474,0.903202805,0.081209024,1.277556599,0.36841167,3.921801652,0,0.204012914,0.36841167,0.144591677,2.54322895,11.94564938,2.182740111,0.007922832,5.854972567,2.196605067,36.10434369,0.021787787,2.895794957,1.618238358,2.790817438
PF,0.04753699,0.188167251,0.762572543,0.150533801,0.388218749,0.174302296,5.852991859,0.001980708,0.148553093,0.053479113,0.166379464,1.113157843,21.75213421,5.034959495,0.029710619,6.623487234,0.924990592,28.05474677,0.007922832,0.857646523,5.971834334,3.711846614
PF,0.190147959,0.069324777,0.447639987,0.140630261,0.241646364,0.148553093,4.872541446,0,0.095073979,0.055459821,0.057440529,0.744746172,23.81405114,6.274882643,0.023768495,7.683165964,0.713054846,25.04407075,0.033672034,0.386238041,6.676966348,4.351615267
