Layer,Acidobacteriales,Solibacterales,Vicinamibacterales,Rhizobiales,Burkholderiales,Geobacterales,Syntrophales,Gemmatimonadales,Myxococcales,Tepidisphaerales,Chthoniobacterales,Pedosphaerales,Gaiellales,Micrococcales,Solirubrobacterales,RBG-16-55-12,WCHB1-81,Bacteroidales,Chitinophagales,Sphingobacteriales,Caldisericales,Clostridiales
AL,11.5514885,1.022045279,0.12280389,4.256541288,9.503436528,0.005942124,0,0.021787787,0.497157684,2.897775665,5.343949928,3.046328758,0.021787787,0.24560778,1.237942441,0,0,0,3.0819815,4.674470656,0,0
AL,8.907243449,2.626418682,0.388218749,4.609107295,4.284271199,0.093093272,0,0.186186543,2.357042407,3.297878662,4.668528532,5.236991701,0.398122289,0.338701052,2.380810902,0,0,0.005942124,4.838869412,5.300374354,0,0
AL,5.793570622,1.354804207,3.010676016,6.100580347,10.86022144,0.598173787,0,2.519460455,0.372373086,0.990353953,13.17566898,2.822508765,0.489234853,3.735615109,1.146829877,0,0,0.017826371,1.305286509,0.962624042,0,0.112900351
AL,4.789351714,1.441955355,2.317428249,4.531859687,15.4851744,1.289440846,0.011884247,4.038663418,0.493196268,1.539010042,10.35117951,4.016875631,0.332758928,5.17162834,0.754649712,0,0,0.326816804,1.610315527,1.045813774,0,0.128746014
PF,0.514984055,0.724939093,2.129260998,2.317428249,11.19496108,0.946778379,3.333531404,1.495434468,0.021787787,1.582585616,0.301067602,4.815100917,4.399152257,7.411808981,0.140630261,0.406045121,0.198070791,22.66325985,2.057955513,1.61625765,0.124784598,4.205042882
PF,0.225800701,0.455562818,0.554598213,0.821993781,13.04494226,1.784617822,2.909659912,0.247588488,0.011884247,0.944797671,0.249569196,1.255768812,10.4977519,7.803989146,0.053479113,4.365480223,0.602135203,17.09747064,1.669736764,0.796244578,1.74896508,6.270921227
PF,0.043575574,0.410006536,0.225800701,0.544694674,8.075346129,1.477608097,2.368926654,0.043575574,0.003961416,0.835858736,0.065363361,0.649672193,12.56561095,5.969853626,0.043575574,8.219937806,0.798225286,17.17273754,0.509041932,0.651652901,2.664052132,11.81294195
PF,0.584308832,0.447639987,0.647691485,1.78659853,8.612117971,1.174559788,3.543486442,0.413967952,0.045556282,0.598173787,0.790302454,2.349119575,11.47027948,7.162239784,0.154495217,7.479153049,1.190405451,10.7730703,0.986392537,0.558559629,3.967357934,9.485610157
PF,0.148553093,0.724939093,0.645710777,0.572424585,3.03444451,0.362469547,2.961158318,0.0752669,0.027729911,0.354546715,0.273337691,1.029968111,17.92144512,12.97759819,0.106958227,5.236991701,1.17257908,10.10161032,0.560540337,0.310971141,16.49731614,5.83318478
