Depth,Thaw_Days,Thaw_Prob_July_All,Thaw_Prob_Aug_All,Thaw_Prob_Aug_10,Thaw_Prob_Aug_5,pH,EC,GWC,OC,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
0-10,80,100,100,100,100,4.1,93.6,84.59343795,30.19843029,18.57309803,3.76334502,0.005942124,0,0.188167251,8.469507002,0.33077822,0.021787787,1.521183671,0.146572385,4.561570305,19.24059659,14.50076257,23.63182601,0.001980708
10-20,80,100,100,100,100,4.48,39.6,86.51315789,25.63227404,17.94521362,6.179808664,0.093093272,0,5.975795749,10.71959118,0.013864955,0.202032206,7.633648266,0.140630261,5.520232931,15.7604928,12.41111573,11.92980371,0.031691326
20-30,59,45.16129032,100,100,100,4.71,6.1,21.85354691,0.330628334,20.69443619,7.354368451,0.598173787,0,18.59686652,3.004733892,0.118842474,2.549171074,1.439974647,0.305029017,3.355319191,17.15293046,8.835937964,13.11426704,0.029710619
30-40,27,3.225806452,96.77419355,100,100,4.62,4.8,28.47457627,0.466638403,17.45003664,7.794085606,1.360746331,0,17.54511062,4.33973102,0.146572385,4.038663418,1.323112881,0.443678571,3.5078337,15.75256997,6.443242815,17.39853824,0.057440529
40-50,19,0,61.29032258,80,80,5.36,21,55.09977827,1.462207839,5.221146038,15.23164379,4.838869412,0.124784598,11.15336621,26.75738309,5.143898429,1.495434468,0.0752669,0.837839444,2.234238517,5.922316636,2.614534435,11.70796443,0.21787787
50-60,0,0,3.225806452,10,0,5.46,20.5,67.14559387,1.624363207,1.830174104,26.15524789,5.112207103,1.74896508,12.75972032,20.11210807,8.96270327,0.247588488,0.128746014,0.301067602,1.315190049,2.143125953,1.027987403,13.28658863,0.33077822
60-70,0,0,0,0,0,5.28,20.6,72.24118316,1.849514091,1.027987403,28.85495276,4.248618456,2.664052132,13.6807495,18.73749678,17.29158001,0.043575574,0.011884247,0.338701052,0.982431121,0.893299265,0.572424585,8.204092143,0.455562818
70-80,0,0,0,0,0,5.56,26.7,46.5631929,1.206701727,3.33749282,29.26297859,5.106264979,3.967357934,10.31354606,12.65672351,15.68918732,0.413967952,0.138649553,0.356527423,1.119099966,3.735615109,2.168875156,9.240002377,0.617980866
80-90,0,0,0,0,0,5.28,43.1,65.39485359,3.490821285,2.977003981,38.03355319,3.771267851,16.49731614,5.383564086,11.17119258,14.46907125,0.0752669,0.091112564,0.196090083,0.554598213,1.608334819,0.713054846,3.200823974,0.429813615
