,site_tundra,Site,Tundra,Layer,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,Coverage
TTT.50.60,TTT,Toolik,MAT,permafrost,687,718.3181818,11.33824942,709.5299489,13.06971389,4.773936209,0.979061686,47.75933709,112.4542764,0.998950225
TTT.60.70,TTT,Toolik,MAT,permafrost,525,542.5,7.891606834,538.5771461,11.22923783,4.585568652,0.976808284,43.11884462,81.66862068,0.999306752
TTT.70.80,TTT,Toolik,MAT,permafrost,824,848.1818182,8.641683626,847.1029175,14.34574897,5.037477736,0.981814622,54.98923475,139.8602935,0.998870996
TTT.80.90,TTT,Toolik,MAT,permafrost,567,582.8421053,6.638718108,585.2595111,11.89304511,4.173189566,0.961905054,26.25020095,89.46966406,0.999148296
TWS.0.10,TWS,Toolik,WS,active,2364,2425.780822,13.12344998,2425.546398,24.02350954,6.774763008,0.997145842,350.3660472,514.2628493,0.996731832
TWS.10.20,TWS,Toolik,WS,active,1718,1767.881356,12.76494735,1755.841113,20.63268517,6.284688674,0.994819857,193.0448643,343.8767569,0.997841028
TWS.20.30,TWS,Toolik,WS,active,1433,1502.807692,16.69289946,1485.369829,18.9412387,6.055767305,0.994138069,170.5922595,274.5298031,0.997603343
TWS.30.40,TWS,Toolik,WS,active,1228,1268.25,11.26458445,1265.229107,17.53150528,5.604174893,0.989069645,91.48833398,227.0351996,0.998177749
TWS.40.50,TWS,Toolik,WS,active,702,705.0555556,2.699660082,704.8234901,11.38575667,5.500012531,0.989617715,96.3179076,115.3963462,0.999782122
TWS.50.60,TWS,Toolik,WS,permafrost,715,728.875,6.260686917,728.9833065,13.21684082,5.069441138,0.981511254,54.08695748,117.958077,0.999267138
TWS.60.70,TWS,Toolik,WS,permafrost,334,334,0.099850187,334.1972804,5.714310998,4.696118901,0.975501329,40.8185408,47.99285593,0.999980193
TWS.70.80,TWS,Toolik,WS,permafrost,681,723.2054795,12.55481731,720.8956319,13.00103239,3.793467377,0.915047593,11.77129677,111.281624,0.998435241
TWS.80.90,TWS,Toolik,WS,permafrost,584,617.5483871,11.03424262,614.0298858,11.93558974,3.721567038,0.924772563,13.29302228,92.6642824,0.99871254
