,ITT_0_10,ITT_10_20,ITT_20_30,ITT_30_40,ITT_40_50,ITT_50_60,ITT_60_70,IWS_0_10,IWS_10_20,IWS_20_30,IWS_30_40,IWS_40_50,IWS_50_60,IWS_60_70,IWS_70_80,IWS_80_90,IWS_90_100,STT_0_10,STT_10_20,STT_20_30,STT_30_40,STT_40_50,STT_50_60,STT_60_70,STT_70_80,STT_80_90,SWS_0_10,SWS_10_20,SWS_20_30,SWS_30_40,SWS_40_50,SWS_50_60,SWS_60_70,TTT_0_10,TTT_10_20,TTT_20_30,TTT_30_40,TTT_40_50,TTT_50_60,TTT_60_70,TTT_70_80,TTT_80_90,TWS_0_10,TWS_10_20,TWS_20_30,TWS_30_40,TWS_40_50,TWS_50_60,TWS_60_70,TWS_70_80,TWS_80_90
4794d233489eb457715e6e33227d5c97,0,7,0,0,0,0,18,604,907,1061,977,1359,891,1071,552,180,603,0,0,0,0,18,0,30,20,0,0,0,13,0,9,16,30,0,0,10,0,0,0,0,0,0,375,310,445,484,357,177,0,54,37
7f8c3a4041c6c58fef426e20f3c26a80,0,0,48,50,1518,1616,486,0,0,0,0,0,0,9,43,163,56,0,0,0,0,0,18,16,118,19,0,0,0,0,18,11,8,0,0,0,0,210,805,2094,1067,137,0,0,0,16,88,304,65,0,31
8f0fb68673a8b3c26f3fd210e29b7916,1,38,64,150,168,239,703,18,32,28,39,8,13,30,42,73,118,6,13,16,13,25,46,189,304,211,0,8,12,34,283,504,420,0,0,36,48,276,949,1211,1211,466,14,12,34,17,31,141,86,734,910
11a326b7907bd4c634a8f1d754a69996,0,0,10,51,12,24,17,0,7,38,48,0,0,41,94,50,158,0,0,0,0,0,4,31,99,133,0,0,0,37,584,962,1551,0,0,0,0,148,248,558,480,2017,0,88,155,108,142,418,388,669,1131
a9cdace376f468b22ea7bac7de7e029c,0,0,236,396,15,7,81,27,0,1,3,7,9,8,0,2,4,0,65,47,1,1007,1761,2005,1478,514,0,0,0,0,185,323,203,0,0,3,8,456,56,24,171,29,801,543,47,30,0,20,0,16,22
9214c8ae1d39f7b6cd90d07cde2582f6,2,8466,0,17,3,6,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,201,308,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2a0a6367f794e66b396ec215ba393fc7,0,0,131,29,9,11,41,224,531,596,904,1332,1278,1004,580,187,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,33,91,0,0,0,15,0,77,322,331,421,545,148,134,59,52
67e661bb11f6e55603958bb95fdeebd1,0,0,1198,628,23,14,81,0,69,244,492,880,879,438,199,76,368,0,0,0,0,52,48,17,8,4,0,0,0,0,18,16,23,0,0,0,105,188,24,11,161,73,0,62,198,959,1441,61,14,51,24
cbaaf7bdc857a6581e9480d5780f5ca6,0,0,2777,2005,45,27,190,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,10,0,0,0,0,78,677,1920,80,24,345,105,0,0,0,0,0,0,0,0,0
e8629389a8226b2e6a31d688865f4588,0,0,366,418,600,850,727,0,0,0,0,24,52,49,63,25,26,0,0,0,0,0,30,0,48,31,0,0,0,3,60,36,28,0,0,0,21,566,1223,1492,718,180,0,0,0,0,49,63,180,226,186
