Layer,Acidobacteriales,Solibacterales,Vicinamibacterales,Rhizobiales,Burkholderiales,Geobacterales,Syntrophales,Gemmatimonadales,Myxococcales,Tepidisphaerales,Chthoniobacterales,Pedosphaerales,Gaiellales,Micrococcales,Solirubrobacterales,RBG-16-55-12,WCHB1-81,Bacteroidales,Chitinophagales,Sphingobacteriales,Caldisericales,Clostridiales
AL,0.031691326,0.138649553,7.550458534,10.53340464,9.638124666,0.204012914,0,1.083447224,0.083189732,0.560540337,16.45175986,2.295640462,1.958920118,0.308990433,3.870303246,0,0,0,2.402598689,0.413967952,0,0.011884247
AL,0,0.20797433,8.954780439,7.017648107,15.60797829,0.596193079,0,2.273852675,0.077247608,0.392180165,12.44874918,2.850238675,3.868322538,0.54865609,2.903717789,0,0,0.001980708,2.460039218,0.435755739,0,0.027729911
AL,0.007922832,0.186186543,7.918870204,5.688593103,11.96149504,0.516964763,0,2.844296552,0.150533801,0.388218749,11.74559788,2.640283637,6.647255729,0.570443877,4.034702002,0,0,0.00990354,2.099550379,0.41594866,0,0.043575574
AL,0.033672034,0.233723533,4.04658625,3.21468893,16.0120427,9.319230693,0.019807079,3.080000792,0.275318399,0.33077822,7.273159427,2.200566482,4.450650663,0.758611128,3.260245212,0,0,0.703151306,3.181016895,0.742765464,0,0.069324777
AL,0,0.188167251,3.793055638,6.639332898,13.23509022,2.570958861,0.354546715,1.168617664,0.154495217,0.156475924,8.174381524,4.50016836,4.62297225,4.373403054,4.569493137,0,0.03763345,1.67369818,2.024283479,1.804424901,0,0.095073979
PF,0.007922832,0.112900351,3.355319191,4.624952958,18.07594034,1.810367025,1.863846139,1.913363836,0.158456632,0.233723533,1.612296235,3.446431755,7.895101709,5.771782835,3.072077961,0,0.204012914,6.320438925,0.827935904,1.645968269,0.005942124,0.63382653
PF,0,0.225800701,3.80097847,6.639332898,13.56586844,1.232000317,1.259730228,1.091370056,0.168360172,0.17034088,2.487769129,3.937647315,6.587834492,5.894586725,3.852476875,0.035652742,0.380295918,4.59524234,1.20030899,1.628141898,0.116861766,0.881415018
PF,0.045556282,0,1.798482778,2.818547349,12.504209,0.792283162,2.002495692,0.427832907,0.081209024,0.101016103,1.414225444,1.537029334,11.20288391,10.80080021,2.265929843,2.723473369,4.310020401,5.104284271,0.742765464,1.255768812,0.923009884,1.511280132
PF,0.015845663,0.019807079,0.62392299,1.277556599,18.43840989,0.087151148,0.9269713,0.043575574,0.005942124,0.025749203,0.25551132,0.172321588,6.924554836,7.956503654,0.91706776,3.329569988,5.027036663,3.773248559,0.118842474,0.277299107,1.130984214,1.148810585
