Layer,Acidobacteriales,Solibacterales,Vicinamibacterales,Rhizobiales,Burkholderiales,Geobacterales,Syntrophales,Gemmatimonadales,Myxococcales,Tepidisphaerales,Chthoniobacterales,Pedosphaerales,Gaiellales,Micrococcales,Solirubrobacterales,RBG-16-55-12,WCHB1-81,Bacteroidales,Chitinophagales,Sphingobacteriales,Caldisericales,Clostridiales
AL,10.6482857,3.145364153,0.241646364,4.450650663,3.010676016,0,0,0.275318399,2.327331788,4.555628182,5.013171708,10.55915384,0.13270743,0.112900351,1.449878186,0,0,0,4.59524234,3.046328758,0,0.001980708
AL,23.52288708,1.634084022,1.848000475,7.928773744,5.264721612,0.003961416,0,3.149325569,0.116861766,1.529106503,10.99689029,2.343177452,0.104977519,0.308990433,1.289440846,0,0,0,1.830174104,0.536771842,0,0.087151148
AL,5.490522313,0.982431121,0.948759086,1.513260839,22.87915701,2.426367184,2.658110009,1.331035712,0.152514509,0.382276626,0.475369897,17.12520055,0.948759086,4.300116862,0.411987244,0.152514509,0.017826371,7.158278369,2.860142215,1.554855705,0.041594866,0.736823341
AL,2.103511795,0.91706776,1.632103314,3.985184305,17.56095629,1.746984372,2.937389823,1.426109692,0.104977519,0.400102997,0.465466358,7.415770396,1.849981183,6.205557866,1.010161032,0.152514509,0.027729911,10.05803474,3.04434805,1.13494563,0.21787787,1.271614475
PF,0.334739636,0.148553093,0.820013073,0.221839285,15.23758591,1.691524551,2.697724167,0.186186543,0.03763345,1.303305801,0.116861766,4.668528532,2.099550379,3.87624537,0.079228316,2.299601878,0.253530612,21.65706023,0.196090083,1.035910234,7.784182067,7.102818547
PF,0.204012914,0.093093272,0.287202646,0.253530612,10.01049775,1.66379464,2.786856022,0.025749203,0.031691326,1.182482619,0.112900351,2.816566641,2.860142215,2.992849644,0.049517698,3.709865906,0.503099808,22.89104126,0.16043734,0.67145998,11.88028601,7.968387902
PF,2.252064888,0.823974488,1.016103155,1.37064987,8.829995841,1.194366867,1.495434468,0.124784598,0.198070791,1.836116228,1.572682077,3.416721136,5.282547983,3.012656724,0.475369897,1.996553568,1.632103314,20.74395389,1.634084022,0.833878028,6.165943708,6.847307228
