Phylum,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
Depth_0-10,20.55578664,4.335769604,8.346703112,0,2.093608256,0,0.001980708,0.271356983,6.468992018,0.223819993,6.603680155,21.57585121,12.2526591,12.07439539,0
Depth_10-20,38.46930893,2.636322222,2.513518331,0,5.888644602,0.011884247,0.051498406,3.0819815,0.865569354,0.03763345,6.534355379,13.92635728,11.55544992,10.8503179,0.027729911
Depth_20-30,10.54330818,7.063204389,12.45667201,0.033672034,9.13304415,5.641056113,0.986392537,1.263691643,0.352566007,0.988373245,1.097312179,19.25050013,1.669736764,24.0041991,0.227781409
Depth_30-40,7.944619407,11.85651752,15.37623547,0.204012914,13.8055341,5.545982134,1.865826847,1.426109692,0.227781409,0.921029176,1.388476241,9.380632638,4.490264821,18.41067998,0.271356983
Depth_40-50,1.519202963,9.533147147,23.50308,7.750510032,7.296927922,4.906213481,10.71761047,0.184205835,0.13270743,1.045813774,2.077762592,6.492760513,0.511022639,15.51686573,0.114881058
Depth_50-60,0.790302454,10.85229861,24.02400618,11.96149504,7.320696417,4.716065522,13.19547606,0.023768495,0.104977519,0.449620694,2.184720819,3.925763068,0.36841167,10.17687722,0.190147959
Depth_60-70,6.251114148,15.56836413,23.70511221,5.977776457,5.268683027,3.244399548,12.47449839,0.104977519,1.132964922,0.427832907,3.751460772,5.835165488,2.919563452,10.08972607,0.261453443
