Phylum,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
Depth_0-10,29.35211044,9.818369085,3.533582903,0,3.634599006,0.346623883,0.00990354,1.259730228,0.9269713,0.140630261,3.101788579,19.65654525,12.01101274,10.91964268,0.118842474
Depth_10-20,24.34686157,10.96717967,3.29985937,0,5.41723612,0.63382653,0.019807079,2.414482936,1.958920118,0.087151148,2.755164696,17.10935488,8.350664528,16.4359142,0.039614158
Depth_20-30,23.7526492,16.04175332,3.171113356,0,7.950561531,0.619961574,0.130726722,2.998791768,1.752926496,0.21787787,2.121338166,15.82387545,6.358072375,12.84687147,0.243627072
Depth_30-40,19.31586349,12.40715432,5.738110801,0,6.817596609,9.865906075,0.128746014,3.226573177,1.04977519,0.790302454,1.018083863,11.92980371,3.917840236,16.8379979,0.370392378
Depth_40-50,17.61839682,16.97466675,7.241468101,0,7.225622437,3.188939727,0.229762117,1.33301642,0.701170598,1.424128984,1.269633767,14.80579159,7.354368451,14.40568859,0.382276626
Depth_50-60,9.507397944,20.7716838,10.33533385,0.00990354,7.605918355,4.325866065,1.095331471,1.917325252,0.431794323,1.233981025,0.903202805,6.783924575,5.137956306,21.05294432,0.477350605
Depth_60-70,11.55743063,21.36193476,8.806227346,0.067344069,9.675758116,2.941351239,1.471665973,1.063640145,0.818032365,0.871511478,0.994315368,8.778497435,7.088953592,16.67557985,0.384257334
Depth_70-80,5.542020718,36.0053083,8.734921861,1.012141739,12.0011092,4.484322697,2.885891418,0.4258522,0.299086894,0.653633609,0.404064413,3.484065205,3.0067146,13.33412562,0.447639987
Depth_80-90,1.269633767,26.9594153,5.108245687,1.119099966,3.844554044,3.91387882,2.198585775,0.041594866,0.039614158,0.108938935,0.178263711,0.459524234,1.307267217,18.55923307,0.186186543
