Phylum,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
Depth_0-10,20.34979302,8.564580981,7.487075881,0,1.463743142,0.025749203,0.279279815,0.229762117,4.53780181,0.528849011,6.354110959,18.75532315,13.45098738,12.83102581,0.101016103
Depth_10-20,18.11951591,8.633905758,2.71356983,0,4.813120209,0.20797433,0.039614158,0.950739794,1.45582031,0.366430962,2.343177452,33.79285757,10.32741102,9.291500782,0.057440529
Depth_20-30,36.78768792,5.791589914,3.224592469,0,6.205557866,0.28324123,0.196090083,1.903460297,2.767048943,0.307009725,1.764810743,14.14423515,11.61883257,10.50369402,0.12280389
Depth_30-40,22.72862321,8.390278686,9.146909105,0.025749203,2.273852675,0.237684949,0.215897162,0.9269713,3.529621487,1.517222255,2.087666132,10.78099313,9.204349635,23.62192248,0.033672034
Depth_40-50,3.159229108,25.75118347,18.72363183,9.834214748,5.912413096,5.500425852,4.210985006,0.077247608,0.24560778,0.437736447,1.354804207,2.147087369,8.483371957,4.161467308,0.990353953
Depth_50-60,4.290213322,30.17806564,13.70847941,4.943846931,9.46382237,4.494226236,5.613326203,0.017826371,0.411987244,0.435755739,1.590508448,2.228296393,8.88743637,1.891576049,1.432051815
Depth_60-70,4.53780181,34.44252976,14.74835106,4.391229425,9.41628538,4.502149068,4.914136312,0.055459821,0.388218749,0.461504942,1.261710935,1.907421713,8.665597084,1.970804365,1.194366867
