Phylum,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
Depth_0-10,18.47208192,3.737595817,8.479410541,0,0.200051498,0.007922832,0.336720344,0.033672034,1.606354111,0.150533801,4.411036504,19.22475093,14.52453107,23.73680353,0.003961416
Depth_10-20,17.86202389,6.055024066,11.0008517,0,4.973557549,0.073286192,0.007922832,0.184205835,7.776259235,0.134688138,5.458830986,15.52478856,12.73991324,11.91990017,0.029710619
Depth_20-30,20.63105354,7.425673936,3.028502387,0,18.70580545,0.513003347,0.101016103,2.475884881,1.354804207,0.299086894,3.438508923,17.22423594,8.833957256,12.93402262,0.021787787
Depth_30-40,17.27177293,7.823796225,4.519975439,0,17.62037752,1.356784915,0.150533801,4.143640937,1.164656248,0.423871492,3.377106978,15.73672431,6.488799097,17.34109771,0.049517698
Depth_40-50,5.231049577,14.99792026,26.9851645,0.126765306,11.175154,4.799255254,4.96365401,1.481569513,0.069324777,0.855665815,2.317428249,5.944104423,2.529363995,11.56931487,0.229762117
Depth_50-60,1.879691802,25.88785232,20.06259037,1.721235169,12.83498722,5.169647632,8.932992652,0.265414859,0.168360172,0.285221938,1.253788104,2.216412146,1.033929526,13.2786658,0.374353794
Depth_60-70,1.041852358,28.81335789,18.9415097,2.677917088,13.72036366,4.163448016,17.31534851,0.045556282,0.011884247,0.334739636,0.942816963,0.845762275,0.485273437,8.114960287,0.451601402
Depth_70-80,3.319666449,29.19761523,12.65474281,4.010933508,10.31948819,5.042882326,15.54261493,0.392180165,0.118842474,0.346623883,1.146829877,3.654406085,2.156990909,9.321211401,0.627884406
Depth_80-90,2.99681106,37.47895498,11.24249807,16.41808782,5.452888862,3.775229267,14.51660824,0.067344069,0.077247608,0.227781409,0.576386,1.594469864,0.713054846,3.143383445,0.41594866
