Phylum,Acidobacteriota,Actinobacteriota,Bacteroidota,Caldisericota,Chloroflexi,Desulfobacterota,Firmicutes,Gemmatimonadota,Myxococcota,Patescibacteria,Planctomycetota,Verrucomicrobiota,Alphaproteobacteria,Gammaproteobacteria,Archaea
Depth_0-10,15.22570167,5.593519124,5.54994355,0,10.15112801,4.589300216,0.198070791,0.285221938,3.480103789,0.717016262,3.234496009,13.34600986,6.474934141,16.46562481,1.004218908
Depth_10-20,7.061223681,6.42937786,18.35720086,0.267395567,17.17075683,15.60005546,0.911125636,0.089131856,1.937132331,1.41818686,2.361003823,10.67799632,1.287460138,2.54322895,2.897775665
Depth_20-30,6.257056272,10.05011191,18.62063501,0.465466358,16.55871809,14.08679462,2.491730544,0.03763345,1.129003506,1.386495534,2.200566482,10.9236041,0.584308832,0.625903698,2.230277101
Depth_30-40,5.108245687,9.505417236,23.38819894,1.024025987,13.73819003,13.55992632,5.658882485,0.204012914,0.392180165,1.903460297,1.788579238,12.06647256,0.049517698,0.358508131,0.956681918
Depth_40-50,3.697981659,8.075346129,22.81577436,1.976746489,13.34600986,12.01299344,6.738368293,0.227781409,0.590250956,3.220631054,2.252064888,15.25343158,0.031691326,1.138907045,1.33301642
Depth_50-60,1.998534276,21.50652643,35.71810565,2.769029651,9.073622913,6.621506526,4.704181274,0,0.439717155,1.459781726,0.996296076,7.770317111,0.059421237,2.422405768,0.621942282
Depth_60-70,2.17481728,23.13466833,39.75874978,1.598431279,9.782716343,5.229068869,4.787371006,0,0.263434151,2.071820469,0.645710777,3.311743617,0.33077822,1.743022956,0.582328124
Depth_70-80,1.624180482,36.5064274,29.22336443,5.738110801,10.46407986,6.502664052,4.428862876,0.001980708,0.310971141,0.200051498,0.332758928,1.554855705,0.326816804,0.413967952,0.518945471
Depth_80-90,1.174559788,40.61045418,25.49171074,6.609622279,11.09394498,5.694535227,5.229068869,0.001980708,0.358508131,0.156475924,0.198070791,1.053736605,0.241646364,0.312951849,0.439717155
