Phylum,Depth,Site_Tundra,Value
Gammaproteobacteria,80-90,IWS,0.366430962
Bacteria_Other,80-90,IWS,2.689801335
Archaea,80-90,IWS,0.261453443
Acidobacteriota,90-100,IWS,6.88295997
Actinobacteriota,90-100,IWS,13.63915463
Bacteroidota,90-100,IWS,22.17798641
Caldisericota,90-100,IWS,2.584823816
Chloroflexi,90-100,IWS,10.90775843
Desulfobacterota,90-100,IWS,6.926535544
Firmicutes,90-100,IWS,11.62873611
Gemmatimonadota,90-100,IWS,0.205993622
Myxococcota,90-100,IWS,0.950739794
Patescibacteria,90-100,IWS,0.715035554
Planctomycetota,90-100,IWS,1.576643492
Verrucomicrobiota,90-100,IWS,12.49232476
Alphaproteobacteria,90-100,IWS,2.008437816
Gammaproteobacteria,90-100,IWS,2.113415335
Bacteria_Other,90-100,IWS,4.521956147
Archaea,90-100,IWS,0.667498564
