Layer,Chloracidobacteria,Acidobacteriales,Solibacterales,Actinomycetales,Gaiellales,Solirubrobacterales,Saprospirales,Bacteroidales,WCHB1-03,Clostridiales,Nitrospirales,Rhizobiales,Rhodospirillales,Burkholderiales,Desulfuromonadales,Myxococcales,Syntrophobacterales,Xanthomonadales,Pedosphaerales,Chthoniobacterales,Opitutales
AL,3.9,4.3,2.8,2.7,0.9,0.9,0.7,2.0,0.0,0.2,6.0,4.4,1.3,5.6,2.2,3.3,3.7,0.9,5.0,6.0,0.4
AL,0.7,1.1,1.0,4.0,1.9,0.0,0.0,12.6,0.0,0.9,2.1,1.0,0.1,0.9,5.2,1.8,9.4,0.1,6.4,1.6,0.7
AL,0.6,0.1,0.9,6.8,3.0,0.0,0.0,13.8,0.3,2.6,0.1,0.3,0.1,0.2,1.8,1.0,10.9,0.0,6.6,1.1,0.7
AL,0.5,0.0,0.7,7.0,2.3,0.0,0.0,17.1,1.0,5.7,0.1,0.1,0.0,0.2,0.8,0.3,11.0,0.0,8.7,1.1,0.3
AL,0.4,0.0,1.0,4.4,2.9,0.0,0.0,15.5,2.0,6.7,0.0,0.0,0.0,0.8,0.9,0.5,10.5,0.0,11.8,0.6,1.2
PF,0.5,0.2,0.4,9.4,11.9,0.0,0.0,33.3,2.6,4.4,0.1,0.0,0.0,1.1,1.4,0.5,5.0,0.0,6.2,0.1,0.6
PF,1.0,0.0,0.4,12.0,12.0,0.0,0.0,38.1,1.6,4.8,0.0,0.1,0.0,0.6,0.3,0.2,4.9,0.0,2.5,0.1,0.3
PF,0.8,0.0,0.2,15.0,21.9,0.0,0.0,28.5,5.7,4.3,0.0,0.2,0.1,0.1,0.1,0.3,6.2,0.0,1.1,0.2,0.2
PF,0.5,0.1,0.1,17.0,23.9,0.0,0.0,24.9,6.6,4.9,0.0,0.1,0.1,0.1,0.2,0.4,5.6,0.0,0.7,0.0,0.2
