Layer,Chloracidobacteria,Acidobacteriales,Solibacterales,Actinomycetales,Gaiellales,Solirubrobacterales,Saprospirales,Bacteroidales,WCHB1-03,Clostridiales,Nitrospirales,Rhizobiales,Rhodospirillales,Burkholderiales,Desulfuromonadales,Myxococcales,Syntrophobacterales,Xanthomonadales,Pedosphaerales,Chthoniobacterales,Opitutales
AL,0.4,10.9,4.6,2.4,0.1,1.3,4.6,0.1,0.0,0.0,0.0,4.3,4.8,2.5,0.0,6.4,0.1,8.7,10.5,4.5,3.0
AL,2.4,23.7,5.2,1.0,0.1,1.3,1.7,0.0,0.0,0.1,0.2,7.7,2.5,2.5,0.0,0.8,0.6,5.2,2.4,10.7,0.2
AL,1.0,5.4,1.6,4.9,1.0,0.4,2.9,7.5,0.0,1.0,0.2,1.5,0.2,16.2,2.5,0.4,4.3,0.3,17.1,0.5,0.6
AL,1.7,2.1,1.6,7.5,1.7,1.0,3.0,10.6,0.2,1.9,0.1,4.0,0.4,12.9,2.1,0.2,4.3,0.6,7.2,0.5,0.8
PF,0.8,0.3,0.2,6.6,2.0,0.1,0.3,22.1,7.6,10.6,0.1,0.2,0.1,14.3,1.8,0.2,3.1,0.3,4.6,0.1,0.1
PF,0.3,0.2,0.1,7.2,2.9,0.1,0.1,23.4,11.9,12.9,0.0,0.3,0.0,9.3,1.7,0.1,3.0,0.2,2.8,0.1,0.0
PF,1.2,2.2,1.6,7.6,5.3,0.4,1.6,21.2,6.0,12.5,0.1,1.4,1.1,7.4,1.2,1.1,2.0,1.0,3.5,1.6,0.3
