Phylum,Depth,Site_Tundra,Value
Chloroflexi,60-70,ITT,9.570780597
Bacteria_Other,60-70,ITT,2.20254719
Archaea,60-70,ITT,0.402083705
Acidobacteria,70-80,TTT,5.395448333
Planctomycetes,70-80,TTT,0.396141581
Alphaproteobacteria,70-80,TTT,3.04434805
Gammaproteobacteria,70-80,TTT,0.768514667
Gemmatimonadetes,70-80,TTT,0.435755739
Nitrospirae,70-80,TTT,0.140630261
Verrucomicrobia,70-80,TTT,3.246380256
Actinobacteria,70-80,TTT,38.10089726
Bacteroidetes,70-80,TTT,7.134509874
Caldiserica,70-80,TTT,0.968566166
Firmicutes,70-80,TTT,2.895794957
Betaproteobacteria,70-80,TTT,12.54580387
Deltaproteobacteria,70-80,TTT,8.085249668
Armatimonadetes,70-80,TTT,0.223819993
Chlorobi,70-80,TTT,1.279537307
Chloroflexi,70-80,TTT,12.04864619
Bacteria_Other,70-80,TTT,2.812605225
Archaea,70-80,TTT,0.477350605
Acidobacteria,80-90,TTT,1.228038901
Planctomycetes,80-90,TTT,0.182225127
Alphaproteobacteria,80-90,TTT,1.364707747
Gammaproteobacteria,80-90,TTT,0.213916454
Gemmatimonadetes,80-90,TTT,0.035652742
Nitrospirae,80-90,TTT,0.061401945
Verrucomicrobia,80-90,TTT,0.457543526
Actinobacteria,80-90,TTT,27.77150554
Bacteroidetes,80-90,TTT,5.066650821
Caldiserica,80-90,TTT,1.168617664
Firmicutes,80-90,TTT,2.242161348
Betaproteobacteria,80-90,TTT,18.47604334
Deltaproteobacteria,80-90,TTT,4.949789055
Armatimonadetes,80-90,TTT,0.049517698
Chlorobi,80-90,TTT,0.093093272
Chloroflexi,80-90,TTT,3.733634401
Bacteria_Other,80-90,TTT,32.75100521
Archaea,80-90,TTT,0.154495217
