Layer,Chloracidobacteria,Acidobacteriales,Solibacterales,Actinomycetales,Gaiellales,Solirubrobacterales,Saprospirales,Bacteroidales,WCHB1-03,Clostridiales,Nitrospirales,Rhizobiales,Rhodospirillales,Burkholderiales,Desulfuromonadales,Myxococcales,Syntrophobacterales,Xanthomonadales,Pedosphaerales,Chthoniobacterales,Opitutales
AL,27.9,0.0,0.3,1.3,2.1,4.0,2.5,0.0,0.0,0.0,2.4,10.2,0.2,5.6,0.2,0.8,1.7,0.5,2.3,16.3,0.2
AL,21.4,0.0,0.4,1.2,3.9,2.9,2.5,0.0,0.0,0.0,2.8,6.7,0.4,8.3,0.6,1.8,2.3,0.3,2.7,12.5,0.3
AL,20.8,0.0,0.3,1.3,6.6,4.5,2.1,0.0,0.0,0.1,2.8,5.5,0.3,5.8,0.6,1.6,2.2,0.3,2.6,11.9,0.4
PF,13.7,0.0,0.5,2.2,4.3,3.5,3.2,0.8,0.0,0.1,3.3,3.1,0.2,9.7,9.7,1.0,2.3,0.1,2.2,7.1,1.1
PF,14.7,0.0,0.6,5.5,4.6,4.7,2.1,2.0,0.0,0.2,0.6,6.4,0.2,10.0,2.7,0.8,0.8,0.1,4.7,8.1,1.2
PF,7.0,0.0,0.4,6.7,8.1,3.5,0.8,6.7,0.0,1.0,0.3,4.6,0.1,15.7,2.1,0.4,2.5,0.1,3.5,1.7,1.3
PF,9.5,0.0,0.6,7.6,6.5,4.3,1.2,5.0,0.1,1.5,0.2,6.3,0.1,11.3,1.4,0.9,1.6,0.1,4.0,2.5,1.8
PF,4.6,0.0,0.1,18.5,11.4,2.2,0.7,5.1,1.0,2.8,0.1,2.8,0.1,9.7,0.9,0.3,3.4,0.0,1.4,1.3,0.3
PF,1.0,0.0,0.1,16.7,7.1,0.8,0.1,3.7,1.2,2.2,0.1,1.3,0.0,18.1,0.1,0.0,2.0,0.1,0.1,0.3,0.0
