,site_tundra,Site,Tundra,Layer,Soil,Acidobacteria,Planctomycetes,Alphaproteobacteria,Gammaproteobacteria,Gemmatimonadetes,Nitrospirae,Verrucomicrobia,Actinobacteria,Bacteroidetes,Caldiserica,Firmicutes,Betaproteobacteria,Deltaproteobacteria,Armatimonadetes,Chlorobi,Chloroflexi,Bacteria_Other,Archaea
TTT_0_10,TTT,Toolik,MAT,Active,Organic,17.9650207,4.470457742,14.4829362,14.19177214,0.011884247,0,19.0920435,3.927743776,8.322934617,0,0.314932557,9.580684137,2.895794957,0.942816963,0.049517698,0.112900351,3.632618298,0.005942124
TTT_10_20,TTT,Toolik,MAT,Active,Organic,17.80062194,5.444966031,12.17937291,7.599976232,0.219858577,0,15.55647989,6.120387426,10.91370056,0,0,4.226830669,9.20831105,1.562778537,0.051498406,4.868580031,4.205042882,0.041594866
TTT_20_30,TTT,Toolik,MAT,Active,Mineral,20.43892487,3.458316002,8.780478143,2.097569671,2.557093905,0.099035395,16.75480817,7.619783311,2.5808624,0,0.116861766,10.72949472,2.832412304,0.376334502,0.5011191,9.844118288,11.18901896,0.023768495
TTT_30_40,TTT,Toolik,MAT,Active,Mineral,17.19452532,3.424643968,6.274882643,1.851961891,4.125814566,0.156475924,15.7604928,7.80002773,3.493968744,0,0.180244419,15.56836413,3.274110167,0.37831521,0.948759086,12.17343078,7.338522788,0.055459821
TTT_40_50,TTT,Toolik,MAT,Permafrost,Mineral,5.132014182,2.265929843,2.67593638,0.528849011,1.515241547,0.033672034,5.847049736,15.29502644,26.44245053,0.124784598,5.09636144,11.16128904,6.324400341,1.883653218,0.370392378,10.72949472,4.294174738,0.279279815
TTT_50_60,TTT,Toolik,MAT,Permafrost,Mineral,1.853942599,1.297363678,1.091370056,0.243627072,0.233723533,0.017826371,1.958920118,26.11959514,19.85857746,1.770752867,9.012220968,12.93204191,5.652940361,0.683344227,0.200051498,12.17343078,4.539782518,0.360488839
TTT_60_70,TTT,Toolik,MAT,Permafrost,Mineral,1.053736605,1.059678729,0.570443877,0.116861766,0.041594866,0.027729911,0.871511478,28.73214887,18.57309803,2.717531246,17.18066037,8.023847723,4.365480223,0.384257334,0.277299107,13.59161764,1.947035871,0.465466358
TTT_70_80,TTT,Toolik,MAT,Permafrost,Mineral,3.331550696,1.115138551,2.21245073,0.614019451,0.431794323,0.039614158,3.458316002,29.44916513,12.45667201,3.919820944,15.5346921,8.604195139,5.641056113,0.406045121,0.388218749,9.648028205,2.11737675,0.631845822
TTT_80_90,TTT,Toolik,MAT,Permafrost,Organic,2.909659912,0.554598213,0.695228475,0.162418048,0.063382653,0.019807079,1.525145087,38.0117654,11.08800285,16.46562481,14.4314378,3.089904332,4.066393329,0.261453443,0.134688138,5.130033474,0.962624042,0.427832907
