Layer,Chloracidobacteria,Acidobacteriales,Solibacterales,Actinomycetales,Gaiellales,Solirubrobacterales,Saprospirales,Bacteroidales,WCHB1-03,Clostridiales,Nitrospirales,Rhizobiales,Rhodospirillales,Burkholderiales,Desulfuromonadales,Myxococcales,Syntrophobacterales,Xanthomonadales,Pedosphaerales,Chthoniobacterales,Opitutales
AL,0.1,11.1,2.3,2.1,0.0,1.3,2.9,0.0,0.0,0.0,0.0,4.2,5.9,9.5,0.0,1.6,0.0,12.7,3.1,5.3,2.7
AL,0.5,8.8,4.5,3.0,0.4,2.3,4.9,0.3,0.0,0.0,0.0,4.6,3.9,3.0,0.1,7.7,0.1,6.9,5.2,4.0,3.8
AL,3.7,5.7,3.4,4.8,0.5,1.2,1.3,0.0,0.0,0.1,0.1,6.0,1.4,6.7,0.6,1.4,0.2,1.6,2.7,12.9,0.8
AL,2.8,4.8,3.5,6.0,0.3,0.7,1.6,0.4,0.0,0.2,0.2,4.4,1.0,10.3,1.4,1.2,0.1,1.2,4.2,10.2,1.1
PF,2.1,0.5,2.0,9.0,4.4,0.1,2.1,23.5,0.1,5.1,0.0,2.4,0.3,6.8,1.0,0.1,4.1,0.2,4.8,0.4,0.3
PF,0.6,0.2,0.8,13.3,10.5,0.0,1.7,17.6,1.8,9.0,0.0,0.9,0.2,11.9,1.8,0.1,3.3,0.2,1.3,0.2,0.2
PF,0.3,0.0,0.6,15.0,12.6,0.0,0.4,18.0,2.7,17.0,0.0,0.5,0.0,6.7,1.5,0.0,2.7,0.1,0.6,0.1,0.1
PF,0.8,0.5,1.1,16.5,11.6,0.2,1.0,11.1,3.9,15.5,0.0,1.8,0.3,6.9,1.1,0.1,4.0,0.2,2.3,0.7,0.2
PF,0.6,0.1,1.8,19.6,17.9,0.1,0.6,10.3,16.5,14.4,0.0,0.6,0.1,2.7,0.4,0.1,3.5,0.1,1.0,0.2,0.2
