Depth,Thaw_Days,Thaw_Prob_July_All,Thaw_Prob_Aug_All,Thaw_Prob_Aug_10,Thaw_Prob_Aug_5,pH,EC,GWC,OC,Acidobacteria,Actinobacteria,Bacteroidetes,Caldiserica,Chlorobi,Chloroflexi,Firmicutes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Bacteria Other,Archaea
0-10,80,100,100,100,100,4.1,93.6,84.59343795,30.19843029,17.97,3.93,0.01,0,0.05,0.11,0.31,0,4.47,14.48,9.58,2.9,14.19,19.09,3.63,8.32
10-20,80,100,100,100,100,4.48,39.6,86.51315789,25.63227404,17.8,6.12,0.04,0,0.05,4.87,0,0,5.44,12.18,4.23,9.21,7.6,15.56,4.21,10.91
20-30,59,45.16129032,100,100,100,4.71,6.1,21.85354691,0.330628334,20.44,7.62,0.02,0,0.5,9.84,0.12,0.1,3.46,8.78,10.73,2.83,2.1,16.75,11.19,2.58
30-40,27,3.225806452,96.77419355,100,100,4.62,4.8,28.47457627,0.466638403,17.19,7.8,0.06,0,0.95,12.17,0.18,0.16,3.42,6.27,15.57,3.27,1.85,15.76,7.34,3.49
40-50,19,0,61.29032258,80,80,5.36,21,55.09977827,1.462207839,5.13,15.3,0.28,0.12,0.37,10.73,5.1,0.03,2.27,2.68,11.16,6.32,0.53,5.85,4.29,26.44
50-60,0,0,3.225806452,10,0,5.46,20.5,67.14559387,1.624363207,1.85,26.12,0.36,1.77,0.2,12.17,9.01,0.02,1.3,1.09,12.93,5.65,0.24,1.96,4.54,19.86
60-70,0,0,0,0,0,5.28,20.6,72.24118316,1.849514091,1.05,28.73,0.47,2.72,0.28,13.59,17.18,0.03,1.06,0.57,8.02,4.37,0.12,0.87,1.95,18.57
70-80,0,0,0,0,0,5.56,26.7,46.5631929,1.206701727,3.33,29.45,0.63,3.92,0.39,9.65,15.53,0.04,1.12,2.21,8.6,5.64,0.61,3.46,2.12,12.46
80-90,0,0,0,0,0,5.28,43.1,65.39485359,3.490821285,2.91,38.01,0.43,16.47,0.13,5.13,14.43,0.02,0.55,0.7,3.09,4.07,0.16,1.53,0.96,11.09
